"MREGON","COMPANY"
"MCLV1","DEPARTMENT"
"MCLV2","CATEGORY"
"MCLV3","SUB-CATEGORY"
"MCLV4","CLASS"
"MCLV5","MERCH. CLASS LVL 5"
"MMFGIT","ITEM NUMBER/SKU #"
"MBUYER","BUYER NUMBER"
"MVEND","VENDOR NUMBER"
"MMANUF","MFG MODEL NUMBER"
"MVORDN","VENDOR ORDER NUMBER"
"MCOLOR","COLOR TABLE CODE"
"MSIZEC","SIZE TABLE CODE"
"MSTYLE","DIM TABLE CODE"
"MRCODE","SUMMARY SKU (Y,N, )"
"MSESON","SEASON CODE"
"MDELTE","ITEM STATUS FLAG"
"MUNTMS","SELLING UNIT DESC."
"ZCSTEX","SELL UNIT WGT/SIZE"
"REGIST","REGISTER DESC."
"MDESC","LONG DESCRIPTION"
"MESTFR","ESTIMATED FREIGHT AMOUNT"
"MSCPCK","CUBE"
"MPCKCD","PACK CODE"
"MPKTYP","CONFIG TYPE"
"MCSSZE","VNDR SHIP PACK QUANTITY"
"MSUBPK","C+ SHIP PACK QUANTITY"
"MWINT2","PALLET QUANTITY"
"MCSWGT","PACK WEIGHT"
"MREOFG","REORDER FLAG-Y/N"
"MREORD","REORDER POINT"
"MLOWPT","LOW STOCK POINT"
"MMAXPT","MAX STOCK POINT"
"MREVUE","REVUE PERIOD"
"MLEAD","LEAD TIME"
"MBARCD","BAR CODE IDENTIFICATION"
"MSUB1","FIRST RECEIPT DATE"
"MSUB2","LAST RECEIPT DATE"
"MSUB3","PUSH DATE"
"MALTNB","SUMMARY SKU NUMBER"
"MATT1","UNUSED"
"MATT2","UNUSED"
"MATT3","LAST FISCAL YR SALES UNITS"
"MQTYO3","BREAK QTY"
"MCPRC","CURRENT COST"
"MNPRC","CURRENT SELLING PRICE"
"MTAGGP","TARGET GROSS PROFIT"
"MFGSRP","SUGGESTED RETAIL PRICE"
"MSONHD","ALL STORES QUANTITY ON HAND"
"MQTYAL","ALL STORES QUANTITY ON ORDER"
"MWONH1","ALL WARE. QUANTITY ON HAND"
"MQTYO1","ALL WARE. QUANTITY ON ORDER"
"MWONH2","ALLOCATED-ALL LOC.S"
"MWINT1","WAREHOUSE IN TRANSIT"
"MAVGLC","AVG. LANDED COST W/FREIGHT"
"MFINLC","FIN. LANDED COST WO/FREIGHT"
"MAVGRT","AVERAGE RETAIL"
"MAVGOH","LAYAWAY ON HAND QTY"
"MNBRWK","NUMBER OF WEEKS FOR SALES"
"MAVGW","LAST MNBRWK WEEKS SALES QTY"
"MWONH3","THIS WEEKS SALES QUANTITY"
"MLASTW","LAST WEEKS SALES QUANTITY"
"MQTYC2","SALES 2 WEEKS AGO QUANTITY"
"MQTYC3","SALES 3 WEEKS AGO QUANTITY"
"MQTYC4","SALES 4 WEEKS AGO QUANTITY"
"MQTYC5","SALES 5 WEEKS AGO QUANTITY"
"MQTYC6","SALES 6 WEEKS AGO QUANTITY"
"MQTYC7","SALES 7 WEEKS AGO QUANTITY"
"MLSTAV","LAST DATE ACTIVE"
"MLSORD","LAST ORDER DATE"
"SALES1","AVG. SALES $ FOR A PERIOD"
"AVGOH1","AVG. ON HAND DOLLARS"
"TURNS1","ANNUALIZED TURNS"
"MDEALQ","DEAL QUANTITY"
"MDEALP","DEAL PRICE"
"MOLDCS","LAST OLD COST"
"MOLDSE","LAST OLD SELLING PRICE"
"MDATLC","DATE LAST PRC CHANGE"
"MLSALE","LAST PROMO DATE"
"MSALEP","LAST PROMO PRICE"
"MEFDTE","NEW SELL EFFECTIVE DATE"
"MNEWSE","NEW SELLING PRICE"
"MYRBGQ","BEGINNING YEAR ON HAND"
"MYRBGC","BEGINNING YEAR AT COST"
"MYRBGS","BEGINNING YEAR AT SELL"
"MMTBGQ","BEGINNING PERIOD ON HAND"
"MMTBGC","BEGINNING PERIOD AT COST"
"MMTBGS","BEGINNING PERIOD AT SELL"
"MMTPUQ","PTD RECEIVED QUANTITY"
"MMTPUC","PTD RECEIVED AT COST"
